date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/17,2330,花旗環球,1590,1442,176,1266,9.39,1,buy
8/17,2330,新加坡商瑞銀,1650,1184,1783,-599,4.44,1,sell
8/17,2330,美商高盛,1480,1886,744,1142,8.47,2,buy
8/17,2330,永豐金證券,0039004100300030,192,776,-584,4.33,2,sell
8/17,2330,摩根大通,8440,1341,393,948,7.03,3,buy
8/17,2330,群益金鼎,9100,58,344,-286,2.12,3,sell
8/17,2330,台灣摩根士丹利,1470,1042,220,822,6.1,4,buy
8/17,2330,永豐金-匯立,0039004100380031,44,313,-269,2.0,4,sell
8/17,2330,凱基-台北,9268,789,433,356,2.64,5,buy
8/17,2330,中國信託,6160,10,271,-261,1.94,5,sell
8/17,2330,港商野村,1560,276,9,267,1.98,6,buy
8/17,2330,凱基,9200,192,395,-203,1.51,6,sell
8/17,2330,港商麥格理,1360,314,73,241,1.79,7,buy
8/17,2330,兆豐證券,7000,10,212,-202,1.5,7,sell
8/17,2330,元大證券,9800,793,653,140,1.04,8,buy
8/17,2330,群益金鼎-北高雄,0039003100330052,6,204,-198,1.47,8,sell
8/17,2330,華南永昌,9300,146,24,122,0.9,9,buy
8/17,2330,凱基-站前,0039003200300046,13,197,-184,1.36,9,sell
8/17,2330,元大-復北,9872,71,14,57,0.42,10,buy
8/17,2330,美林,1440,392,566,-174,1.29,10,sell
8/17,2330,永豐金-萬盛,0039004100390032,54,3,51,0.38,11,buy
8/17,2330,富邦證券,9600,159,296,-137,1.02,11,sell
8/17,2330,(牛牛牛)亞-網路,6012,38,5,33,0.24,12,buy
8/17,2330,香港上海匯豐,8960,6,105,-99,0.73,12,sell
8/17,2330,凱基-中港,9202,36,4,32,0.24,13,buy
8/17,2330,國票-敦北法人,0037003700390063,0,96,-96,0.71,13,sell
8/17,2330,元大-信義安和,0039003800300052,32,6,26,0.19,14,buy
8/17,2330,國泰-敦南,8888,79,160,-81,0.6,14,sell
8/17,2330,元大-三重,0039003800380043,28,3,25,0.19,15,buy
8/17,2330,富邦-和美,0039003600310050,5,81,-76,0.56,15,sell
8/17,2317,花旗環球,1590,3778,1242,2536,7.13,1,buy
8/17,2317,台灣摩根士丹利,1470,893,6629,-5736,16.13,1,sell
8/17,2317,凱基-台北,9268,2498,560,1938,5.45,2,buy
8/17,2317,美商高盛,1480,1725,5106,-3381,9.51,2,sell
8/17,2317,元大證券,9800,1714,1087,627,1.76,3,buy
8/17,2317,港商麥格理,1360,631,2559,-1928,5.42,3,sell
8/17,2317,福邦證券,6480,416,0,416,1.17,4,buy
8/17,2317,群益金鼎,9100,114,1953,-1839,5.17,4,sell
8/17,2317,兆豐證券,7000,426,62,364,1.02,5,buy
8/17,2317,美林,1440,1825,3513,-1688,4.75,5,sell
8/17,2317,元大-府城,0039003800300075,309,15,294,0.83,6,buy
8/17,2317,永豐金證券,0039004100300030,289,844,-555,1.56,6,sell
8/17,2317,富邦證券,9600,332,57,275,0.77,7,buy
8/17,2317,摩根大通,8440,1051,1519,-468,1.32,7,sell
8/17,2317,台新-台北,0039004200320030,262,17,245,0.69,8,buy
8/17,2317,合庫證券,1020,56,308,-252,0.71,8,sell
8/17,2317,國票-南京,003700370039006e,198,0,198,0.56,9,buy
8/17,2317,香港上海匯豐,8960,158,312,-154,0.43,9,sell
